Hardware Metrics Summary
Metric	Mean	Std

Model: distilgpt2_3epochs
Time_delta	78.7655	15.6516
Power_voltage_mV_delta	6.0000	6.0000
Power_current_mA_delta	202.6667	170.6667
Power_avg_power_mW_delta	1910.3889	945.8889
Memory_used_KB_delta	119301.3333	108169.3333
Memory_total_KB_delta	0.0000	0.0000
Memory_free_KB_delta	0.0000	0.0000
Memory_cached_KB_delta	16.0000	16.0000
Memory_shared_KB_delta	194229.3333	194229.3333
GPU_load_delta	48.4333	7.3667
GPU_curr_freq_delta	100937.5000	43562.5000
CPU1_current_freq_delta	0.0000	0.0000
CPU2_current_freq_delta	390400.0000	390400.0000
CPU3_current_freq_delta	390400.0000	390400.0000
CPU4_current_freq_delta	390400.0000	390400.0000
CPU5_current_freq_delta	390400.0000	390400.0000
CPU6_current_freq_delta	390400.0000	390400.0000

Model: distilgpt2_5epochs
Time_delta	63.0611	0.0143
Power_voltage_mV_delta	10.0000	2.0000
Power_current_mA_delta	92.0000	76.0000
Power_avg_power_mW_delta	1187.1250	554.1250
Memory_used_KB_delta	3174.0000	3174.0000
Memory_total_KB_delta	0.0000	0.0000
Memory_free_KB_delta	52750.0000	6718.0000
Memory_cached_KB_delta	0.0000	0.0000
Memory_shared_KB_delta	0.0000	0.0000
GPU_load_delta	36.3375	13.7625
GPU_curr_freq_delta	57375.0000	51000.0000
CPU1_current_freq_delta	0.0000	0.0000
CPU2_current_freq_delta	0.0000	0.0000
CPU3_current_freq_delta	0.0000	0.0000
CPU4_current_freq_delta	0.0000	0.0000
CPU5_current_freq_delta	99200.0000	99200.0000
CPU6_current_freq_delta	118400.0000	118400.0000

Model: distilgpt2_10epochs
Time_delta	63.0785	0.0153
Power_voltage_mV_delta	8.0000	4.0000
Power_current_mA_delta	128.0000	56.0000
Power_avg_power_mW_delta	1352.6250	367.8750
Memory_used_KB_delta	39181.0000	8721.0000
Memory_total_KB_delta	0.0000	0.0000
Memory_free_KB_delta	0.0000	0.0000
Memory_cached_KB_delta	2226.0000	2226.0000
Memory_shared_KB_delta	0.0000	0.0000
GPU_load_delta	16.1875	16.1875
GPU_curr_freq_delta	79687.5000	79687.5000
CPU1_current_freq_delta	0.0000	0.0000
CPU2_current_freq_delta	0.0000	0.0000
CPU3_current_freq_delta	0.0000	0.0000
CPU4_current_freq_delta	0.0000	0.0000
CPU5_current_freq_delta	0.0000	0.0000
CPU6_current_freq_delta	0.0000	0.0000

Model: distilgpt2_12epochs
Time_delta	63.0854	0.0184
Power_voltage_mV_delta	6.0000	2.0000
Power_current_mA_delta	118.0000	6.0000
Power_avg_power_mW_delta	1403.0000	87.7500
Memory_used_KB_delta	0.0000	0.0000
Memory_total_KB_delta	0.0000	0.0000
Memory_free_KB_delta	34454.0000	9996.0000
Memory_cached_KB_delta	326.0000	326.0000
Memory_shared_KB_delta	0.0000	0.0000
GPU_load_delta	0.0000	0.0000
GPU_curr_freq_delta	82875.0000	25500.0000
CPU1_current_freq_delta	0.0000	0.0000
CPU2_current_freq_delta	0.0000	0.0000
CPU3_current_freq_delta	0.0000	0.0000
CPU4_current_freq_delta	0.0000	0.0000
CPU5_current_freq_delta	0.0000	0.0000
CPU6_current_freq_delta	0.0000	0.0000

Model: distilgpt2_15epochs
Time_delta	63.0464	0.0294
Power_voltage_mV_delta	8.0000	4.0000
Power_current_mA_delta	68.0000	68.0000
Power_avg_power_mW_delta	1082.3750	375.3750
Memory_used_KB_delta	0.0000	0.0000
Memory_total_KB_delta	0.0000	0.0000
Memory_free_KB_delta	36335.0000	26119.0000
Memory_cached_KB_delta	927.0000	419.0000
Memory_shared_KB_delta	0.0000	0.0000
GPU_load_delta	0.0000	0.0000
GPU_curr_freq_delta	79687.5000	79687.5000
CPU1_current_freq_delta	0.0000	0.0000
CPU2_current_freq_delta	0.0000	0.0000
CPU3_current_freq_delta	0.0000	0.0000
CPU4_current_freq_delta	0.0000	0.0000
CPU5_current_freq_delta	0.0000	0.0000
CPU6_current_freq_delta	0.0000	0.0000
